otu_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	id	color
PL4_3	21.44833723	-7.805515205	1.523550011	-5.123241868	3.00E-07	0.000153167	PL	PL1
GH43_13	13.9935847	-7.190089211	1.652169844	-4.351906819	1.35E-05	0.003441445	GH	GH1
PL1_4	17.24651036	-4.501094511	1.413759693	-3.183776233	0.001453673	0.247124476	PL	PL0
PL4_1	133.2712891	-1.165357092	0.416688627	-2.796709622	0.005162591	0.351486103	PL	PL0
GT104	122.4797317	-1.423982206	0.508006562	-2.803078368	0.005061737	0.351486103	GT	GT0
GH126	23.03739086	-2.502290897	0.889457191	-2.813278618	0.004903914	0.351486103	GH	GH0
GH5_24	23.11993497	-3.031779684	1.081011742	-2.80457609	0.005038279	0.351486103	GH	GH0
GH5_23	6.10487427	-5.991590025	2.158825971	-2.775392785	0.005513507	0.351486103	GH	GH0
GT22	341.1004432	-0.749778865	0.292264474	-2.565412258	0.010305328	0.525571736	GT	GT0
PL1_9	17.72686488	-2.61605618	1.01188955	-2.585317912	0.009728925	0.525571736	PL	PL0
GH13_1	481.3482139	1.075353585	0.425981079	2.524416311	0.011589059	0.53731094	GH	GH0
GH27	944.6121646	0.53096939	0.254905273	2.083006694	0.037250613	0.703641949	GH	GH0
GH13_21	510.7244827	0.532273008	0.254957632	2.087692001	0.036825627	0.703641949	GH	GH0
CBM57	466.3174669	-0.547491646	0.267170231	-2.049223984	0.040440218	0.703641949	CBM	CBM0
GH5_22	436.9503984	0.78345669	0.367711147	2.130630785	0.033119571	0.703641949	GH	GH0
GT85	367.9919377	0.760383084	0.374466343	2.030577908	0.042297831	0.703641949	GT	GT0
GH123	198.39538	-0.719775661	0.361367834	-1.991808882	0.046392031	0.703641949	GH	GH0
GT3	202.9293896	-0.809747731	0.367274228	-2.204749666	0.027471666	0.703641949	GT	GT0
GH13_5	203.2778044	0.7874883	0.351114802	2.242822848	0.024908241	0.703641949	GH	GH0
GH68	185.2829514	-0.858129893	0.421617764	-2.035326705	0.041818011	0.703641949	GH	GH0
PL6_2	153.3429966	-1.057528361	0.506610504	-2.08745842	0.036846716	0.703641949	PL	PL0
PL9_4	152.1222846	-0.77118481	0.385246019	-2.001798258	0.045306433	0.703641949	PL	PL0
GT11	123.94565	-0.830957959	0.406574771	-2.043801087	0.040973202	0.703641949	GT	GT0
PL9_3	103.8065187	-0.954467582	0.481691096	-1.981493098	0.047536003	0.703641949	PL	PL0
GH43_19	100.8812886	1.286124356	0.60668047	2.119936969	0.034011361	0.703641949	GH	GH0
GT59	95.64581966	-1.017680607	0.493103516	-2.063827519	0.039034073	0.703641949	GT	GT0
GH43_31	80.22474928	-0.977579519	0.500100744	-1.954765177	0.050610793	0.703641949	GH	GH0
GT75	81.99590868	1.089858501	0.561797993	1.939947302	0.052386095	0.703641949	GT	GT0
GH104	74.41600884	1.190851517	0.617539954	1.928379709	0.053807914	0.703641949	GH	GH0
PL7	60.93593408	-1.589054053	0.806706324	-1.969804879	0.048860737	0.703641949	PL	PL0
GT29	62.74302993	-1.899442096	0.830706276	-2.286538758	0.022222759	0.703641949	GT	GT0
GT48	35.53935038	-1.804338719	0.845546287	-2.133932521	0.032848305	0.703641949	GT	GT0
AA13	21.71491322	-2.474943093	1.21268377	-2.040880858	0.041262671	0.703641949	AA	AA0
GH5_9	13.44196214	-3.054705918	1.294852944	-2.359114162	0.018318619	0.703641949	GH	GH0
PL7_3	12.15605322	-3.016999467	1.561846878	-1.9316871	0.053398138	0.703641949	PL	PL0
GH5_45	9.420557577	-3.69973802	1.828161881	-2.023747491	0.042996139	0.703641949	GH	GH0
CBM73	8.701819604	-2.921936854	1.494642275	-1.954940593	0.050590083	0.703641949	CBM	CBM0
GH82	5.50154507	-3.923299123	2.000716572	-1.960946982	0.049885208	0.703641949	GH	GH0
GT54	3.762270174	-5.292387104	2.511339229	-2.107396342	0.035083238	0.703641949	GT	GT0
GT73	248.0733835	-0.783173312	0.411876449	-1.901476311	0.057239652	0.729805569	GT	GT0
GT53	1780.88061	0.583774213	0.336541481	1.734627812	0.08280675	0.755721994	GT	GT0
GH140	1342.763919	0.501158439	0.289090758	1.733567831	0.082994792	0.755721994	GH	GH0
GH19	1170.892191	-0.557165101	0.305919604	-1.821279494	0.068564382	0.755721994	GH	GH0
CBM2	927.9691158	0.63902875	0.369347386	1.730156415	0.083602333	0.755721994	CBM	CBM0
GH136	819.3618887	-0.335344828	0.195913542	-1.711698048	0.086952329	0.755721994	GH	GH0
GT66	796.9993008	0.455253468	0.254728545	1.78721026	0.073903512	0.755721994	GT	GT0
AA3_4	488.4921287	0.609794245	0.336661084	1.811300069	0.070094415	0.755721994	AA	AA0
AA9	206.3390906	-1.0324172	0.562127101	-1.836625913	0.066265139	0.755721994	AA	AA0
GH13_40	92.42048876	-1.024944328	0.59113405	-1.733861089	0.082942733	0.755721994	GH	GH0
GT15	77.88196026	-1.14228826	0.671466674	-1.701183848	0.08890847	0.755721994	GT	GT0
PL15	51.99960377	-1.319228909	0.707911754	-1.863549942	0.062384933	0.755721994	PL	PL0
GT17	53.13882332	1.135313798	0.640748339	1.771856012	0.076418462	0.755721994	GT	GT0
GT31	41.58157487	-1.247779788	0.713341283	-1.749204508	0.080255675	0.755721994	GT	GT0
GH43_14	37.66532822	-1.560748996	0.85403494	-1.827500167	0.067624601	0.755721994	GH	GH0
CBM70	35.43615296	1.420209134	0.833770995	1.703356367	0.088501398	0.755721994	CBM	CBM0
GH132	19.62475263	-1.725731187	1.008665615	-1.710905142	0.087098625	0.755721994	GH	GH0
GT101	18.00330546	-2.237402416	1.21867886	-1.835924532	0.066368819	0.755721994	GT	GT0
GH5_37	8.301664102	-2.85511142	1.590832234	-1.794728167	0.072697021	0.755721994	GH	GH0
PL1_8	2.897036545	-4.923756015	2.820547038	-1.745674137	0.080867592	0.755721994	PL	PL0
GH43_16	2.709523352	4.938336583	2.819702232	1.751368115	0.079882522	0.755721994	GH	GH0
GH13_29	35.91781793	-1.346512187	0.797864832	-1.687644489	0.091479494	0.764828553	GH	GH0
GH43_26	936.4495498	-0.440543642	0.267942746	-1.644170811	0.100140924	0.777281441	GH	GH0
GH30_5	242.614436	-0.512660661	0.313268999	-1.636487054	0.101737693	0.777281441	GH	GH0
GH13_24	37.77887609	1.041201544	0.626817815	1.661091181	0.096695135	0.777281441	GH	GH0
GH13_22	24.74550157	1.634705345	0.98891388	1.653031046	0.098324545	0.777281441	GH	GH0
GH5_34	15.18681608	2.170628049	1.324051401	1.639383522	0.101133411	0.777281441	GH	GH0
GH13_28	3.156821879	-5.047005694	3.087433567	-1.634692888	0.102113444	0.777281441	GH	GH0
GH88	973.1648419	-0.311343511	0.194484001	-1.600869532	0.109405819	0.814644671	GH	GH0
PL3_2	17.66371098	-1.645136067	1.029999539	-1.597220198	0.110216632	0.814644671	PL	PL0
GH92	4603.329956	-0.397071739	0.252668344	-1.571513603	0.116063397	0.828701418	GH	GH0
AA6	3964.018697	0.270165703	0.176159523	1.533642344	0.125117665	0.828701418	AA	AA0
GH43	1358.903631	-0.356655025	0.231735075	-1.539063625	0.123788764	0.828701418	GH	GH0
GT2_Cellulose_synt	393.9072919	0.484149619	0.310854221	1.557481242	0.119356271	0.828701418	GT	GT0
GH5_1	360.4954425	0.61867273	0.400200537	1.545906797	0.122127079	0.828701418	GH	GH0
GH30_8	97.08002624	-0.809686946	0.525209458	-1.541645782	0.123159694	0.828701418	GH	GH0
GH5_12	75.73426098	-0.953821443	0.606294478	-1.573198301	0.115672909	0.828701418	GH	GH0
GT71	61.12263819	-0.942713545	0.612148688	-1.540007458	0.123558535	0.828701418	GT	GT0
