ID,Domain,Treatment,Time,Source,Order,Value
1,Fungi,N0,0,Soil,1,0
2,Fungi,N0,7,Soil,2,5
3,Fungi,N0,14,Soil,3,77
4,Fungi,N0,62,Soil,4,59
5,Fungi,N0,187,Soil,5,95
6,Fungi,N0,0,Straw,1,100
7,Fungi,N0,7,Straw,2,93
8,Fungi,N0,14,Straw,3,20
9,Fungi,N0,62,Straw,4,33
10,Fungi,N0,187,Straw,5,3
11,Fungi,N0,0,Unknown,1,0
12,Fungi,N0,7,Unknown,2,2
13,Fungi,N0,14,Unknown,3,3
14,Fungi,N0,62,Unknown,4,8
15,Fungi,N0,187,Unknown,5,2
16,Fungi,N1,0,Soil,1,0
17,Fungi,N1,7,Soil,2,70
18,Fungi,N1,14,Soil,3,54
19,Fungi,N1,62,Soil,4,15
20,Fungi,N1,187,Soil,5,50
21,Fungi,N1,0,Straw,1,100
22,Fungi,N1,7,Straw,2,23
23,Fungi,N1,14,Straw,3,2
24,Fungi,N1,62,Straw,4,24
25,Fungi,N1,187,Straw,5,10
26,Fungi,N1,0,Unknown,1,0
27,Fungi,N1,7,Unknown,2,7
28,Fungi,N1,14,Unknown,3,44
29,Fungi,N1,62,Unknown,4,61
30,Fungi,N1,187,Unknown,5,40
31,Fungi,N2,0,Soil,1,0
32,Fungi,N2,7,Soil,2,87
33,Fungi,N2,14,Soil,3,76
34,Fungi,N2,62,Soil,4,71
35,Fungi,N2,187,Soil,5,74
36,Fungi,N2,0,Straw,1,100
37,Fungi,N2,7,Straw,2,3
38,Fungi,N2,14,Straw,3,0
39,Fungi,N2,62,Straw,4,0
40,Fungi,N2,187,Straw,5,9
41,Fungi,N2,0,Unknown,1,0
42,Fungi,N2,7,Unknown,2,10
43,Fungi,N2,14,Unknown,3,24
44,Fungi,N2,62,Unknown,4,29
45,Fungi,N2,187,Unknown,5,17
46,Bacteria,N0,0,Soil,1,0
47,Bacteria,N0,7,Soil,2,3
48,Bacteria,N0,14,Soil,3,35
49,Bacteria,N0,62,Soil,4,74
50,Bacteria,N0,187,Soil,5,78
51,Bacteria,N0,0,Straw,1,100
52,Bacteria,N0,7,Straw,2,80
53,Bacteria,N0,14,Straw,3,29
54,Bacteria,N0,62,Straw,4,0
55,Bacteria,N0,187,Straw,5,0
56,Bacteria,N0,0,Unknown,1,0
57,Bacteria,N0,7,Unknown,2,17
58,Bacteria,N0,14,Unknown,3,36
59,Bacteria,N0,62,Unknown,4,26
60,Bacteria,N0,187,Unknown,5,22
61,Bacteria,N1,0,Soil,1,0
62,Bacteria,N1,7,Soil,2,20
63,Bacteria,N1,14,Soil,3,32
64,Bacteria,N1,62,Soil,4,67
65,Bacteria,N1,187,Soil,5,74
66,Bacteria,N1,0,Straw,1,100
67,Bacteria,N1,7,Straw,2,42
68,Bacteria,N1,14,Straw,3,16
69,Bacteria,N1,62,Straw,4,2
70,Bacteria,N1,187,Straw,5,0
71,Bacteria,N1,0,Unknown,1,0
72,Bacteria,N1,7,Unknown,2,38
73,Bacteria,N1,14,Unknown,3,52
74,Bacteria,N1,62,Unknown,4,31
75,Bacteria,N1,187,Unknown,5,26
76,Bacteria,N2,0,Soil,1,0
77,Bacteria,N2,7,Soil,2,41
78,Bacteria,N2,14,Soil,3,40
79,Bacteria,N2,62,Soil,4,72
80,Bacteria,N2,187,Soil,5,75
81,Bacteria,N2,0,Straw,1,100
82,Bacteria,N2,7,Straw,2,12
83,Bacteria,N2,14,Straw,3,7
84,Bacteria,N2,62,Straw,4,1
85,Bacteria,N2,187,Straw,5,0
86,Bacteria,N2,0,Unknown,1,0
87,Bacteria,N2,7,Unknown,2,47
88,Bacteria,N2,14,Unknown,3,53
89,Bacteria,N2,62,Unknown,4,27
90,Bacteria,N2,187,Unknown,5,25
