ID,Treatment,Copy,Domain,Group,Time
1,raw,391000000,Bact,raw,d0
2,raw,439000000,Bact,raw,d0
3,raw,428000000,Bact,raw,d0
4,raw,1710000000,Bact,raw,d0
5,raw,1920000000,Bact,raw,d0
6,raw,2100000000,Bact,raw,d0
7,raw,426000000,Bact,raw,d0
8,raw,448000000,Bact,raw,d0
9,raw,434000000,Bact,raw,d0
10,7_N0,1220000000,Bact,N0,D7
11,7_N0,1440000000,Bact,N0,D7
12,7_N0,1450000000,Bact,N0,D7
13,7_N0,2670000000,Bact,N0,D7
14,7_N0,2810000000,Bact,N0,D7
15,7_N0,2740000000,Bact,N0,D7
16,7_N0,15100000000,Bact,N0,D7
17,7_N0,16100000000,Bact,N0,D7
18,7_N0,15800000000,Bact,N0,D7
19,7_N2,20000000000,Bact,N2,D7
20,7_N2,21300000000,Bact,N2,D7
21,7_N2,21400000000,Bact,N2,D7
22,7_N2,43300000000,Bact,N2,D7
23,7_N2,46800000000,Bact,N2,D7
24,7_N2,45700000000,Bact,N2,D7
25,7_N2,16800000000,Bact,N2,D7
26,7_N2,17600000000,Bact,N2,D7
27,7_N2,17700000000,Bact,N2,D7
28,14_N0,16800000000,Bact,N0,D14
29,14_N0,15900000000,Bact,N0,D14
30,14_N0,17600000000,Bact,N0,D14
31,14_N0,2970000000,Bact,N0,D14
32,14_N0,2930000000,Bact,N0,D14
33,14_N0,2820000000,Bact,N0,D14
34,14_N0,1830000000,Bact,N0,D14
35,14_N0,2020000000,Bact,N0,D14
36,14_N0,1880000000,Bact,N0,D14
37,14_N2,21200000000,Bact,N2,D14
38,14_N2,21100000000,Bact,N2,D14
39,14_N2,19000000000,Bact,N2,D14
40,14_N2,11400000000,Bact,N2,D14
41,14_N2,11500000000,Bact,N2,D14
42,14_N2,10600000000,Bact,N2,D14
43,14_N2,26100000000,Bact,N2,D14
44,14_N2,25000000000,Bact,N2,D14
45,14_N2,23600000000,Bact,N2,D14
46,62_N0,5870000000,Bact,N0,D62
47,62_N0,5850000000,Bact,N0,D62
48,62_N0,5480000000,Bact,N0,D62
49,62_N0,4290000000,Bact,N0,D62
50,62_N0,4530000000,Bact,N0,D62
51,62_N0,4510000000,Bact,N0,D62
52,62_N0,3170000000,Bact,N0,D62
53,62_N0,3570000000,Bact,N0,D62
54,62_N2,8170000000,Bact,N2,D62
55,62_N2,9170000000,Bact,N2,D62
56,62_N2,9730000000,Bact,N2,D62
57,62_N2,5980000000,Bact,N2,D62
58,62_N2,6220000000,Bact,N2,D62
59,62_N2,7080000000,Bact,N2,D62
60,62_N2,4670000000,Bact,N2,D62
61,62_N2,5620000000,Bact,N2,D62
62,62_N2,6670000000,Bact,N2,D62
63,187_N0,45100000000,Bact,N0,D187
64,187_N0,42700000000,Bact,N0,D187
65,187_N0,40700000000,Bact,N0,D187
66,187_N0,17600000000,Bact,N0,D187
67,187_N0,18700000000,Bact,N0,D187
68,187_N0,18900000000,Bact,N0,D187
69,187_N0,17600000000,Bact,N0,D187
70,187_N0,20000000000,Bact,N0,D187
71,187_N0,22600000000,Bact,N0,D187
72,187_N2,10500000000,Bact,N2,D187
73,187_N2,12300000000,Bact,N2,D187
74,187_N2,12200000000,Bact,N2,D187
75,187_N2,21500000000,Bact,N2,D187
76,187_N2,19800000000,Bact,N2,D187
77,187_N2,16300000000,Bact,N2,D187
78,187_N2,28800000000,Bact,N2,D187
79,187_N2,30800000000,Bact,N2,D187
80,187_N2,28800000000,Bact,N2,D187
