ID,Treatment,Copy,Domain,Group,Time
1,raw,492000000,Fungi,raw,d0
2,raw,558000000,Fungi,raw,d0
3,raw,567000000,Fungi,raw,d0
4,raw,342000000,Fungi,raw,d0
5,raw,389000000,Fungi,raw,d0
6,raw,427000000,Fungi,raw,d0
7,raw,639000000,Fungi,raw,d0
8,raw,777000000,Fungi,raw,d0
9,raw,768000000,Fungi,raw,d0
10,7_N0,92105718,Fungi,N0,D7
11,7_N0,102000000,Fungi,N0,D7
12,7_N0,103000000,Fungi,N0,D7
13,7_N0,200000000,Fungi,N0,D7
14,7_N0,299000000,Fungi,N0,D7
15,7_N0,303000000,Fungi,N0,D7
16,7_N0,509000000,Fungi,N0,D7
17,7_N0,530000000,Fungi,N0,D7
18,7_N0,540000000,Fungi,N0,D7
19,7_N2,89541870,Fungi,N2,D7
20,7_N2,101000000,Fungi,N2,D7
21,7_N2,103000000,Fungi,N2,D7
22,7_N2,43749735,Fungi,N2,D7
23,7_N2,44902602,Fungi,N2,D7
24,7_N2,46359921,Fungi,N2,D7
25,7_N2,31902541,Fungi,N2,D7
26,7_N2,56387894,Fungi,N2,D7
27,7_N2,57635962,Fungi,N2,D7
28,14_N0,556000000,Fungi,N0,D14
29,14_N0,428000000,Fungi,N0,D14
30,14_N0,557000000,Fungi,N0,D14
31,14_N0,189000000,Fungi,N0,D14
32,14_N0,180000000,Fungi,N0,D14
33,14_N0,194000000,Fungi,N0,D14
34,14_N0,92528058,Fungi,N0,D14
35,14_N0,126000000,Fungi,N0,D14
36,14_N0,155000000,Fungi,N0,D14
37,14_N2,134000000,Fungi,N2,D14
38,14_N2,148000000,Fungi,N2,D14
39,14_N2,148000000,Fungi,N2,D14
40,14_N2,522000000,Fungi,N2,D14
41,14_N2,476000000,Fungi,N2,D14
42,14_N2,497000000,Fungi,N2,D14
43,14_N2,168000000,Fungi,N2,D14
44,14_N2,206000000,Fungi,N2,D14
45,14_N2,211000000,Fungi,N2,D14
46,62_N0,1040000000,Fungi,N0,D62
47,62_N0,958000000,Fungi,N0,D62
48,62_N0,1030000000,Fungi,N0,D62
49,62_N0,559000000,Fungi,N0,D62
50,62_N0,711000000,Fungi,N0,D62
51,62_N0,752000000,Fungi,N0,D62
52,62_N0,303000000,Fungi,N0,D62
53,62_N0,475000000,Fungi,N0,D62
54,62_N0,486000000,Fungi,N0,D62
55,62_N2,276000000,Fungi,N2,D62
56,62_N2,280000000,Fungi,N2,D62
57,62_N2,287000000,Fungi,N2,D62
58,62_N2,232000000,Fungi,N2,D62
59,62_N2,257000000,Fungi,N2,D62
60,62_N2,272000000,Fungi,N2,D62
61,62_N2,358000000,Fungi,N2,D62
62,62_N2,349000000,Fungi,N2,D62
63,62_N2,390000000,Fungi,N2,D187
64,187_N0,4390000000,Fungi,N0,D187
65,187_N0,6020000000,Fungi,N0,D187
66,187_N0,7250000000,Fungi,N0,D187
67,187_N0,3410000000,Fungi,N0,D187
68,187_N0,5380000000,Fungi,N0,D187
69,187_N0,6340000000,Fungi,N0,D187
70,187_N0,3260000000,Fungi,N0,D187
71,187_N0,3690000000,Fungi,N0,D187
72,187_N0,6430000000,Fungi,N0,D187
73,187_N2,2160000000,Fungi,N2,D187
74,187_N2,2210000000,Fungi,N2,D187
75,187_N2,2250000000,Fungi,N2,D187
76,187_N2,1460000000,Fungi,N2,D187
77,187_N2,1560000000,Fungi,N2,D187
78,187_N2,1560000000,Fungi,N2,D187
79,187_N2,1420000000,Fungi,N2,D187
80,187_N2,1370000000,Fungi,N2,D187
81,187_N2,1300000000,Fungi,N2,D187
