	W0	W0_M	W7N0	W7N0_M	W7N2	W7N2_M	W14N0	W14N0_M	W14N2	W14N2_M	W62N0	W62N0_M	W62N2	W62N2_M	W187N0	W187N0_M	W187N2	W187N2_M
Low_abundance	0.096365125	0.142418308	0.253785009	0.185881901	0.318925822	0.256572312	0.523606208	0.495355891	0.476474737	0.331840325	0.740038783	0.746869898	0.753689337	0.791374008	0.840007138	0.839190989	0.847762438	0.863291341
g__Achromobacter	4.68E-05	0.000801147	0.005034001	0.002842907	0.00362833	0.001619935	0.037598585	0.06250637	0.069361345	0.092728826	0.004909941	0.005845331	0.038304851	0.02880274	0.002160776	0.003827862	0.010799794	0.011159482
g__Bacillus	0.038060083	0.001388342	0.00917547	0.004187614	0.294653574	0.122925041	0.002727452	0.001566065	0.041841658	0.020279462	0.00294243	0.001128633	0.071438541	0.012086701	0.002709937	0.001211962	0.035077988	0.00657614
g__Brevundimonas	7.44E-05	0.000644978	0.000125438	0.000131204	0.001872854	0.000566554	0.050173364	0.040968698	0.151410219	0.140169868	0.00345863	0.003738458	0.012334913	0.008307868	0.001567097	0.002896576	0.003515519	0.003090035
g__Enterobacter	0.154964504	0.00585009	0.179455557	0.042056717	0.006791052	0.002943694	0.069115938	0.059334295	0.009215972	0.038771044	0.000418647	0.00025868	0.001181157	0.00097852	0.00009	0.000135585	8.34E-05	0.000212427
g__Erwinia	0	0.119948714	0.0000117	0.119685262	0	0.001291297	0	0.00063164	0	0.000248244	0	6.10E-05	0	6.55E-05	0	6.29E-05	0	8.28E-05
g__Exiguobacterium	0.107080384	0.000515358	0.000861105	3.23E-05	0.000140651	8.84E-05	0	5.17E-06	7.40E-05	4.38E-06	0	1.61E-05	8.87E-06	1.52E-05	0	1.40E-05	0	2.10E-05
g__Lactobacillus	7.07E-06	0.286668478	0	4.43E-05	0	0.000381789	0	1.91E-05	0	3.48E-05	0	3.56E-05	0	4.86E-05	0	3.95E-05	0	4.23E-05
g__Massilia	0.060936963	0.12403878	0.000299074	7.72E-05	0	1.02E-05	0.003422689	0.004075512	0.000667403	0.000641758	0.000841539	0.000762209	0.000791758	0.000922247	0.000263355	0.00131416	0.000375675	0.001284348
g__Microbacterium	0.009684316	0.003249877	0.029518804	0.028328683	0.005996518	0.004054752	0.025908843	0.043194296	0.045825564	0.092324995	0.06103529	0.059746612	0.030547746	0.04286002	0.029248461	0.026977623	0.018613974	0.017274817
g__Mycobacterium	9.09E-05	0.000957316	0.000163686	0.000624321	3.11E-05	0.000382119	0.004039334	0.013586044	0.000724787	0.003920932	0.107919045	0.124700297	0.033292036	0.05117961	0.081616356	0.084434367	0.043790468	0.056647154
g__Ochrobactrum	2.12E-05	2.81E-05	0.001262386	0.002954792	0.01530585	0.013183505	0.013745118	0.068823182	0.055227609	0.17084367	0.027126161	0.004359868	0.006862046	0.010581362	0.010958385	0.002196683	0.00841155	0.004029753
g__Pantoea	0.459676227	0.220624613	0.312188528	0.462570395	0.012986128	0.005442152	0.029904355	0.017096318	0.008956876	0.00558078	0.0001057	0.000167583	0.000317361	0.00015027	0.0000158	0.000125362	0.0000319	0.000256662
g__Pseudomonas	0.07231989	0.09099186	0.032800552	0.085324966	0.026897825	0.003761471	0.020020932	0.037573535	0.011871276	0.01391168	0.002880644	0.004806677	0.002619343	0.004776753	0.003234348	0.006230699	0.003601191	0.006884241
g__Rhizobium	0.000550109	0.00098855	0.030021375	0.008849291	0.004913238	0.002873234	0.124845526	0.062628834	0.025187099	0.020190863	0.043243916	0.042278188	0.04255365	0.041008923	0.027395107	0.02901384	0.025154346	0.025117311
g__Staphylococcus	0.000112088	0.000694952	0.140355684	0.05438885	0.306823088	0.583708496	5.77E-06	7.12E-05	0.001568325	0.002247056	0	4.05E-05	4.30E-05	6.97E-05	0.0000161	5.02E-05	0.0000075	7.35E-05
g__Stenotrophomonas	9.93E-06	0.000190526	0.00494163	0.002019193	0.001033937	0.000194964	0.09488589	0.092563866	0.101593176	0.066261353	0.005079274	0.005184357	0.006015363	0.006771964	0.000717141	0.002277675	0.002774212	0.003956696
