	W0	W7N0	W7N2	W14N0	W14N2	W62N0	W62N2	W187N0	W187N2	W0_M	W7N0_M	W7N2_M	W14N0_M	W14N2_M	W62N0_M	W62N2_M	W187N0_M	W187N2_M
Low abundance	0.1034	0.0677	0.2173	0.0921	0.3236	0.0674	0.1335	0.5753	0.3758	0.0815	0.3399	0.5445	0.3408	0.3123	0.3327	0.3256	0.4245	0.3749
Alternaria_Asco	0.7394	0.8228	0.0035	0.0134	0.0009	0.0006	0	0.0004	0.0001	0.4702	0.5995	0.0048	0.0596	0.0051	0.0016	0.0006	0.0008	0.0051
Aspergillus_Asco	0	0.0065	0.1766	0.0001	0.0197	0.0002	0.0004	0	0.0003	0.0009	0.0041	0.0423	0.0065	0.0187	0.0093	0.0126	0.0088	0.0125
Chaetomium_Asco	0.0015	0.0005	0.0007	0.0008	0.0331	0.0733	0.2843	0.0165	0.1877	0.001	0.0015	0.0009	0.331	0.0356	0.4149	0.162	0.3333	0.1536
Dichotomopilus_Asco	0	0.0006	0	0.6936	0.0001	0.5288	0.0004	0.3763	0.0003	0	0	0	0	0	0	0	0	0
Fusarium_Asco	0.0151	0.0592	0.1913	0.0124	0.0603	0.0006	0.0073	0.0002	0.0086	0.003	0.049	0.0188	0.0317	0.121	0.0253	0.0743	0.0229	0.0756
Microascus_Asco	0	0.0008	0.1498	0.0005	0.2885	0	0.5734	0	0.4269	0	0	0	0	0	0	0	0	0
Myceliophthora_Asco	0	0	0	0	0	0	0	0	0	0.0001	0.0005	0.0002	0.215	0.0054	0.2075	0.0151	0.2003	0.0167
Nigrospora_Asco	0.1406	0.034	0.0138	0.183	0.0005	0.329	0.0001	0.0313	0	0	0	0	0	0	0	0	0	0
Penicillium_Asco	0	0.0079	0.247	0.0041	0.2733	0.0001	0.0006	0	0.0003	0.0005	0.0023	0.3547	0.0093	0.1307	0.0048	0.0063	0.0043	0.006
Puccinia_Basi	0	0	0	0	0	0	0	0	0	0.4425	0.0018	0.0075	0.0023	0.0004	0.0004	0.0001	0.0003	0.0002
Scedosporium_Asco	0	0	0	0	0	0	0	0	0	0.0003	0.0014	0.0263	0.0038	0.3708	0.0035	0.4034	0.0048	0.3554
