Bin_name	Kingdoms	Phylum	Class	Order	Family	Genus	Species 	New
wheatSN2D142.bin3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_D casseliflavus 	No
wheatSN2D71.bin10	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_D gallinarum 	No
wheatSN2D73.bin10	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis 	No
wheatSN2D72.bin6	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Desemzia	Desemzia incerta 	No
wheatSN2D71.bin12	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus Bin12	Staphylococcus xylosus_B 	No
wheatSN2D73.bin2	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus Bin2	Staphylococcus_A sciuri 	No
wheatSN2D71.bin14	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus Bin 14	Staphylococcus_A lentus 	No
wheatSN2D72.bin5	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus	Solibacillus silvestris 	No
wheatSN2D71.bin16	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus Bin16	Bacillus subtilis 	No
wheatSN2D142.bin9	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus Bin9	Bacillus altitudinis 	No
wheatSN2D71.bin1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_D	Bacillus Bin1	Bacillus_H clausii 	No
wheatSN2D73.bin7	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium stationis 	No
wheatSN2D142.bin5	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Leucobacter	Leucobacter chromiiresistens_A 	No
wheatSN2D141.bin6	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Dermabacteraceae	Brachybacterium	Brachybacterium paraconglomeratum 	No
wheatSN0D73.bin6	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii 	No
wheatSN2D71.bin5	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter radioresistens 	No
wheatSN2D142.bin12	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter ludwigii 	No
wheatSN0D142.bin12	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter himalayensis 	No
wheatSN0D02.bin1	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea agglomerans 	No
wheatSN2D142.bin7	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea brenneri 	No
wheatSN0D71.bin3	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Erwinia	Erwinia_B gerundensis 	No
wheatSN2D143.bin1	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas geniculata 	No
wheatSN0D143.bin6	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia_P 	No
