DATASET_HEATMAP									
SEPARATOR TAB									
BORDER_WIDTH	0.5								
COLOR	#fb9a99								
COLOR_MAX	#1f78b4								
COLOR_MIN	#FFFFFF								
COLOR_NAN	#FFFFFF								
DATASET_LABEL	Genome								
FIELD_LABELS	N0_D0	N0_D7	N2_D7	N0_D14	N2_D14	N0_D62	N2_D62	N0_D187	N2_D187
LEGEND_COLORS	#e5e5e5	#1f78b4							
LEGEND_LABELS	Min. (0.0)	Max. (47.5)							
LEGEND_SHAPES	1	1							
LEGEND_TITLE	Genome								
MARGIN	5								
STRIP_WIDTH	50								
DATA									
wheatSN2D143.bin4	0	0.03	0.41	0.79	3.36	0.01	0.07	0.01	0.02
wheatSN2D73.bin2	0	4.09	47.54	0	0.21	0	0	0	0
wheatSN2D142.bin12	0	0.97	0.21	4.07	3.81	0.02	0.06	0	0
wheatSN0D02.bin1	4.88	28.19	0.31	0.16	0.08	0	0	0	0
wheatSN2D142.bin7	0.02	9.56	0.13	0.28	0.44	0	0	0	0
wheatSN0D142.bin12	0	0.97	0.05	2.88	0.5	0	0.02	0	0
wheatSN2D141.bin2	0	0	0.02	0.01	0.37	0	0.14	0	0.02
wheatSN2D143.bin3	0	0	0	1.93	0.48	0	0	0	0
wheatSN2D72.bin6	0	0	3.01	0	0.03	0	0	0	0
wheatSN2D71.bin16	0	0	0.81	0	0.08	0	0.06	0	0.07
wheatSN2D142.bin9	0	0.09	6.86	0.02	1.27	0	0.44	0	0.19
wheatSN0D1872.bin3	0	0	0	0	0	0.03	0.04	0.55	0.07
wheatSN0D142.bin6	0	0	0	0.38	0.37	0.02	0.09	0	0.01
wheatSN0D1873.bin7	0	0.02	0	0.13	0.08	0.62	0.28	1.13	0.8
wheatSN2D1872.bin3	0	0	0	0	0	0.02	0.07	0.04	0.28
wheatSN2D73.bin7	0	0	0.36	0	0	0	0	0	0
wheatSN0D1873.bin10	0	0.01	0	0.14	0.02	0.9	0.23	0.54	0.35
wheatSN2D143.bin1	0	0.03	0.01	2.24	6.06	0.07	0.17	0.03	0.05
wheatSN2D73.bin10	0	0	0.22	0	0	0	0	0	0
wheatSN2D142.bin2	0	0	0.04	0	0.93	0	0	0	0
wheatSN2D72.bin12	0	0.08	0.39	0	0.18	0	0	0	0
wheatSN2D71.bin1	0	0	0.44	0	0.12	0	0.05	0	0.03
wheatSN2D142.bin5	0	0.02	0.05	0.02	0.39	0	0.01	0	0
wheatSN0D141.bin8	0	0	0	0.36	0.01	0	0	0	0
wheatSN2D72.bin3	0	0	0.35	0.02	0.07	0	0	0	0
wheatSN0D141.bin16	0	0	0	0.3	0.01	0	0	0	0
wheatSN0D71.bin4	0.01	1.05	0.02	1.12	0.04	0.04	0.01	0.03	0.02
wheatSN0D142.bin3	0	0	0	0.28	0.15	0	0.03	0	0.02
wheatSN2D141.bin11	0	0	0	0	0.55	0	0	0	0
wheatSN0D71.bin3	0.09	6.3	0.08	0.04	0	0	0	0	0
wheatSN2D71.bin14	0	0.05	0.63	0	0	0	0	0	0
wheatSN0D141.bin6	0	0	0	1.88	0	0	0	0	0
wheatSN0D143.bin7	0	0.02	0	1.55	0.1	0.17	0.08	0	0.08
wheatSN2D141.bin16	0	0	0.06	3.43	15.01	0.1	0.4	0.08	0.17
wheatSN2D1871.bin4	0	0	0	0	0	0.01	0.02	0.5	0.65
wheatSN2D622.bin7	0	0	0	0.06	0.07	0.08	0.74	0.05	0.27
wheatSN0D143.bin1	0	0	0	1.02	0.12	0.5	0.74	0.19	0.31
wheatSN0D1873.bin4	0	0.01	0	0.02	0	0.3	0.12	0.3	0.07
wheatSN2D71.bin12	0	0.21	3.83	0	0.01	0	0	0	0
wheatSN0D1872.bin7	0	0	0	0	0	0.01	0.01	0.57	0.1
wheatSN0D143.bin6	0	0.02	0	4.04	0.7	0.08	0.06	0.03	0.04
