DATASET_HEATMAP									
SEPARATOR TAB									
BORDER_WIDTH	0.5								
COLOR	#fb9a99								
COLOR_MAX	#CA0020								
COLOR_MIN	#FFFFFF								
COLOR_NAN	#FFFFFF								
DATASET_LABEL	Genome								
FIELD_LABELS	N0_D0	N0_D7	N2_D7	N0_D14	N2_D14	N0_D62	N2_D62	N0_D187	N2_D187
LEGEND_COLORS	#e5e5e5	#1f78b4							
LEGEND_LABELS	Min. (0.0)	Max. (47.5)							
LEGEND_SHAPES	1	1							
LEGEND_TITLE	Genome								
MARGIN	5								
STRIP_WIDTH	50								
DATA									
wheatSN2D143.bin4	0	0.042644337	0.495695163	0.839959587	2.124328135	0.014355293	0.097610797	0.014355293	0.028569152
wheatSN2D73.bin2	0	2.347665656	5.601102203	0	0.275007047	0	0	0	0
wheatSN2D142.bin12	0	0.97819563	0.275007047	2.341985747	2.266036894	0.028569152	0.084064265	0	0
wheatSN0D02.bin1	2.555816155	4.867402306	0.389566812	0.214124805	0.111031312	0	0	0	0
wheatSN2D142.bin7	0.028569152	3.40053793	0.176322773	0.35614381	0.526068812	0	0	0	0
wheatSN0D142.bin12	0	0.97819563	0.070389328	1.956056652	0.584962501	0	0.028569152	0	0
wheatSN2D141.bin2	0	0	0.028569152	0.014355293	0.454175893	0	0.189033824	0	0.028569152
wheatSN2D143.bin3	0	0	0	1.550900665	0.565597176	0	0	0	0
wheatSN2D72.bin6	0	0	2.003602237	0	0.042644337	0	0	0	0
wheatSN2D71.bin16	0	0	0.855989697	0	0.111031312	0	0.084064265	0	0.097610797
wheatSN2D142.bin9	0	0.124328135	2.974529312	0.028569152	1.182692298	0	0.526068812	0	0.250961574
wheatSN0D1872.bin3	0	0	0	0	0	0.042644337	0.056583528	0.632268215	0.097610797
wheatSN0D142.bin6	0	0	0	0.464668267	0.454175893	0.028569152	0.124328135	0	0.014355293
wheatSN0D1873.bin7	0	0.028569152	0	0.176322773	0.111031312	0.695993813	0.35614381	1.09085343	0.847996907
wheatSN2D1872.bin3	0	0	0	0	0	0.028569152	0.097610797	0.056583528	0.35614381
wheatSN2D73.bin7	0	0	0.443606651	0	0	0	0	0	0
wheatSN0D1873.bin10	0	0.014355293	0	0.189033824	0.028569152	0.925999419	0.298658316	0.622930351	0.432959407
wheatSN2D143.bin1	0	0.042644337	0.014355293	1.695993813	2.819668183	0.097610797	0.22650853	0.042644337	0.070389328
wheatSN2D73.bin10	0	0	0.286881148	0	0	0	0	0	0
wheatSN2D142.bin2	0	0	0.056583528	0	0.948600847	0	0	0	0
wheatSN2D72.bin12	0	0.111031312	0.475084883	0	0.23878686	0	0	0	0
wheatSN2D71.bin1	0	0	0.526068812	0	0.163498732	0	0.070389328	0	0.042644337
wheatSN2D142.bin5	0	0.028569152	0.070389328	0.028569152	0.475084883	0	0.014355293	0	0
wheatSN0D141.bin8	0	0	0	0.443606651	0.014355293	0	0	0	0
wheatSN2D72.bin3	0	0	0.432959407	0.028569152	0.097610797	0	0	0	0
wheatSN0D141.bin16	0	0	0	0.378511623	0.014355293	0	0	0	0
wheatSN0D71.bin4	0.014355293	1.03562391	0.028569152	1.084064265	0.056583528	0.056583528	0.014355293	0.042644337	0.028569152
wheatSN0D142.bin3	0	0	0	0.35614381	0.201633861	0	0.042644337	0	0.028569152
wheatSN2D141.bin11	0	0	0	0	0.632268215	0	0	0	0
wheatSN0D71.bin3	0.124328135	2.867896464	0.111031312	0.056583528	0	0	0	0	0
wheatSN2D71.bin14	0	0.070389328	0.704871964	0	0	0	0	0	0
wheatSN0D141.bin6	0	0	0	1.526068812	0	0	0	0	0
wheatSN0D143.bin7	0	0.028569152	0	1.350497247	0.137503524	0.22650853	0.111031312	0	0.111031312
wheatSN2D141.bin16	0	0	0.084064265	2.147306699	4.000901403	0.137503524	0.485426827	0.111031312	0.22650853
