bray_curtis	N11	N13	N14	N31	N33	N34	NON12	NON13	NON14	NON31	NON33	NON34
N11	0	0.0252	0.0276	0.854	0.853	0.816	0.774	0.787	0.781	0.803	0.812	0.804
N13	0.0252	0	0.00251	0.879	0.878	0.842	0.799	0.812	0.806	0.828	0.837	0.83
N14	0.0276	0.00251	0	0.882	0.88	0.844	0.801	0.814	0.808	0.831	0.839	0.832
N31	0.854	0.879	0.882	0	0.206	0.205	0.643	0.64	0.633	0.598	0.613	0.618
N33	0.853	0.878	0.88	0.206	0	0.244	0.462	0.459	0.452	0.417	0.432	0.437
N34	0.816	0.842	0.844	0.205	0.244	0	0.67	0.667	0.66	0.625	0.64	0.645
NON12	0.774	0.799	0.801	0.643	0.462	0.67	0	0.0133	0.0122	0.097	0.106	0.0701
NON13	0.787	0.812	0.814	0.64	0.459	0.667	0.0133	0	0.0138	0.0925	0.0986	0.0629
NON14	0.781	0.806	0.808	0.633	0.452	0.66	0.0122	0.0138	0	0.0943	0.108	0.0724
NON31	0.803	0.828	0.831	0.598	0.417	0.625	0.097	0.0925	0.0943	0	0.027	0.0308
NON33	0.812	0.837	0.839	0.613	0.432	0.64	0.106	0.0986	0.108	0.027	0	0.0376
NON34	0.804	0.83	0.832	0.618	0.437	0.645	0.0701	0.0629	0.0724	0.0308	0.0376	0
