DATASET_HEATMAP													
SEPARATOR TAB													
BORDER_WIDTH	0.5												
COLOR	#fb9a99												
COLOR_MAX	#1f78b4												
COLOR_MIN	#e5e5e5												
COLOR_NAN	#FFFFFF												
DATASET_LABEL	OTUID												
FIELD_LABELS	W0	W7_N0	W7_N1	W7_N2	W14_N0	W14_N1	W14_N2	W62_N0	W62_N1	W62_N2	W187_N0	W187_N1	W187_N2
LEGEND_COLORS	#e5e5e5	#1f78b4											
LEGEND_LABELS	Min. (0.0)	Max. (2.5)											
LEGEND_SHAPES	1	1											
LEGEND_TITLE	OTUID												
MARGIN	5												
STRIP_WIDTH	50												
DATA													
OTU4785	1.384089944	0.510009989	1.636519038	1.113639006	0.26426918	0.566572768	0.291538672	0.367752197	1.045183669	0.904179458	0.36500194	0.726944058	0.660986931
OTU6500	0.010893313	0.121957191	1.746022059	1.530661214	0.044737656	1.052027294	0.425322728	0.037683015	1.059149145	1.025010445	0.003861036	0.872934565	0.890562575
OTU6546	0	0.101956268	0.578371905	0.609321476	0.021437396	0.531831191	0.119161826	0.060294704	0.264539927	0.397213261	0.05724187	0.421967003	0.307066452
OTU59	0.003632837	1.597861908	2.415156643	2.426568771	0.002498677	0.245223618	0.39816804	0	0	0.014898387	0.006936451	0.01228874	0.003245055
OTU4774	0.013469232	0.588134728	1.873823517	2.273791617	0.278895523	1.192327215	1.53772359	0.112109771	0.865047744	1.634142039	0.083657032	0.8159415	1.204448538
OTU6526	0.139766092	0.114373425	0.603707075	0.901471345	0.008557592	0.094905206	0.081370714	0.011528154	0.088851996	0.484768482	0.010002974	0.129503312	0.212509343
OTU1566	0	0	0.041653578	0.141203551	0	0	0.020402721	0	0.003331259	0.021561392	0	0.003189013	0
OTU4834	0.008216802	0.820127998	1.36023449	1.718967637	1.989573498	2.157181631	2.317018065	1.082163849	1.555824369	1.435343413	0.714638938	0.609082878	1.076983448
OTU17	1.994916303	2.2561737	1.530520356	0.891282939	1.845608966	1.624572893	1.00886033	0.151874344	0.705407806	0.338686927	0.037426498	0.046281672	0.034788831
OTU169	0	0.00685096	0.002153098	0	0.28453811	0.012541973	0.207406795	0.093854363	0.109409453	0.017909396	0.003361426	0	0.003245055
OTU4848	0.024567757	0.795333087	0.934531376	1.010550028	1.240895946	1.585081261	1.263986227	0.902505631	1.390730022	1.237482862	0.891864031	0.786831603	0.972228303
OTU4692	0	0.024608796	0.031125576	0.002109881	0.563892758	0.126160641	0.209524397	0	0.003374354	0.003835208	0.003861036	0	0
OTU6474	2.463355963	2.490152105	2.186303169	1.106308722	1.464414396	1.105756079	0.960535227	0.023766311	0.288373547	0.086312483	0.006808208	0.00633766	0.006466042
OTU4787	0.198630974	2.202355175	1.701036266	1.292524896	1.988351846	1.87004755	1.503143552	0.240652568	0.970932825	0.639967035	0.020236944	0.143535641	0.070513667
OTU6464	0.009323393	0.047496048	0.00219631	0.004708197	0.007833093	0.013847996	0.002135811	0	0	0	0	0.004136437	0
OTU4708	0.002714525	0.104940971	0.668468015	0.215688576	1.8357146	0.99903745	1.981098558	0.365990128	0.954667428	0.734836219	0.183985484	0.115403465	0.314702328
OTU4723	0.048419661	1.317455942	0.467141155	0.566384454	1.997936384	1.21780544	1.297201323	0.97815645	1.440703955	1.325509321	0.622158567	0.603619454	0.773918833
OTU5824	0.019739233	0.827344585	0.273407119	0.292401846	1.21074153	1.05745187	0.655829105	1.104426982	0.984794154	0.891934831	0.839007988	0.495517002	0.665826772
OTU4776	0.027308827	0.054858473	0.306543182	0.246855176	0.629422444	0.283523522	0.27845109	0.138401232	0.393863935	0.200883589	0.135184827	0.095410327	0.097134746
