OD,Treatment1,Treat,Treatment,Group,RA
1,N1,N,SC1,AZ290,5.448928724
2,N1,N,SC1,AZ50,93.17949164
3,N1,N,SC1,AZ103,0.556269116
4,N1,N,SC1,AZ52,0.707193783
5,N1,N,SC1,AZ288,0.108116739
6,N3,N,SC1+AZ288,AZ290,19.92699813
7,N3,N,SC1+AZ288,AZ50,7.313755886
8,N3,N,SC1+AZ288,AZ103,53.65515377
9,N3,N,SC1+AZ288,AZ52,2.784327013
10,N3,N,SC1+AZ288,AZ288,16.3197652
11,NON1,NON,SC1,AZ290,65.95227823
12,NON1,NON,SC1,AZ50,13.47939572
13,NON1,NON,SC1,AZ103,11.17871437
14,NON1,NON,SC1,AZ52,9.273807564
15,NON1,NON,SC1,AZ288,0.115804115
16,NON3,NON,SC1+AZ288,AZ290,65.79486995
17,NON3,NON,SC1+AZ288,AZ50,10.76926655
18,NON3,NON,SC1+AZ288,AZ103,5.48275202
19,NON3,NON,SC1+AZ288,AZ52,9.392820073
20,NON3,NON,SC1+AZ288,AZ288,8.560291408
