ID,Treatment,Rate
1,Control,8.33
2,Control,6.67
3,Control,8.33
4,AZ40,7.5
5,AZ40,10.83
6,AZ40,6.67
7,AZ50,38.33
8,AZ50,36.67
9,AZ50,36.67
10,AZ52,34.17
11,AZ52,31.67
12,AZ52,30
13,AZ103,49.17
14,AZ103,49.17
15,AZ103,47.5
16,AZ290,50
17,AZ290,46.67
18,AZ290,50.83
19,AZ289,26.67
20,AZ289,20.58
21,AZ289,12.5
22,AZ288,8.33
23,AZ288,8.33
24,AZ288,7.5
25,AZ196,9.17
26,AZ196,6.67
27,AZ196,8.1
28,AZ14,15.83
29,AZ14,15.8
30,AZ14,17.5
31,AZ255,19.17
32,AZ255,18.33
33,AZ255,16.67
34,AZ165,31.67
35,AZ165,28.33
36,AZ165,24.17
37,AZ69,9.17
38,AZ69,8.33
39,AZ69,10
40,AZ12,6.67
41,AZ12,5.83
42,AZ12,6.67
43,AZ231,6.7
44,AZ231,7.5
45,AZ231,7.5
46,AZ264,7.5
47,AZ264,6.67
48,AZ264,5
49,AZ226,10
50,AZ226,8.33
51,AZ226,7.5
52,AZ114,6.67
53,AZ114,6.67
54,AZ114,9.17
55,AZ28,10
56,AZ28,6.67
57,AZ28,6.67
58,AZ248,7.5
59,AZ248,13.33
60,AZ248,8.33
