KO_id_name	Decomposer	D+AZ288
K05352-tarJ-50	30.9	3.576666667
K05352-tarJ-52	39.78	18.88333333
K05352-tarJ-103		
K05352-tarJ-290		
CelABC-50	90.62333334	23.03666667
CelABC-52		
CelABC-103		
CelABC-290	401.5	70.05666667
K00853-araB-50	14.64	3.003333333
K00853-araB-52		
K00853-araB-103		
K00853-araB-290		
fruAK-50	14.17333333	3.04
fruAK-52	21.76	10.47666667
fruAK-103		
fruAK-290		
K01686-uxuA-50	2.49	0.813333333
K01686-uxuA-52		
K01686-uxuA-103	3.393333333	1.926666667
K01686-uxuA-290		
K01689-eno-50	21.50666667	7.363333333
K01689-eno-52		
K01689-eno-103		
K01689-eno-290		
K08483-ptsI-50	40.26333333	14.79
K08483-ptsI-52		
K08483-ptsI-103		
K08483-ptsI-290		
K01685-uxaA-50	2.06	0.786666667
K01685-uxaA-52		
K01685-uxaA-103		
K01685-uxaA-290		
K00041-uxaB-50	1.993333333	0.766666667
K00041-uxaB-52		
K00041-uxaB-103		
K00041-uxaB-290		
mtlA_and_cmtB-50	7.616666667	0.603333333
mtlA_and_cmtB-52	170.55	3.67
mtlA_and_cmtB-103		
mtlA_and_cmtB-290		
K00009-mtlD-50	2.9	1.276666667
K00009-mtlD-52	112.64	2.81
K00009-mtlD-103		
K00009-mtlD-290		
levDEFG-50		
levDEFG-52	215.2166667	25.47666667
levDEFG-103		
levDEFG-290		
K03332-fruA-50	4.836666667	1.866666667
K03332-fruA-52	39.05666667	4.846666667
K03332-fruA-103		
K03332-fruA-290		
K02810-scrA-50	5	1.386666667
K02810-scrA-52	17.71	2.783333333
K02810-scrA-103		
K02810-scrA-290		
K00627-aceF-50	177.5966667	26.02333333
K00627-aceF-52	13.16666667	3.773333333
K00627-aceF-103		
K00627-aceF-290		
K01182-malL-50		
K01182-malL-52	4.43	2.463333333
K01182-malL-103		
K01182-malL-290		
K01783-rpe-50	64.37	25.97333333
K01783-rpe-52	59.66	21.06333333
K01783-rpe-103	6.236666667	4.566666667
K01783-rpe-290		
accBC-50	278.5766667	197.91
accBC-52	600.3433333	216.3066667
accBC-103		
accBC-290		
K02804-nagE-50		
K02804-nagE-52	19.12	8.163333333
K02804-nagE-103		
K02804-nagE-290		
K09988-lyxA-50		
K09988-lyxA-52	242.1866667	107.89
K09988-lyxA-103		
K09988-lyxA-290		
K00162-pdhB-50		
K00162-pdhB-52	41.76666667	22.57333333
K00162-pdhB-103	51.45666667	29.93333333
K00162-pdhB-290		
K21030-tarI-50	52.47	7.256666667
K21030-tarI-52	56.74	32.80333333
K21030-tarI-103		
K21030-tarI-290		
K00161-pdhA-50		
K00161-pdhA-52	49.92333333	28.66
K00161-pdhA-103	85.81	52.89
K00161-pdhA-290		
K25814-manP-50	0.823333333	0.276666667
K25814-manP-52		
K25814-manP-103		
K25814-manP-290		
K00854-xylB-50		
K00854-xylB-52	12.34333333	6.006666667
K00854-xylB-103	4.226666667	0.643333333
K00854-xylB-290	1.13	0.236666667
