ID	Strain	Sugar	OD
1	AZ50_ns	No-C	0.226
2	AZ50_ns	No-C	0.243
3	AZ50_ns	No-C	0.212
4	AZ50_ns	No-N	0.3
5	AZ50_ns	No-N	0.29
6	AZ50_ns	No-N	0.29
7	AZ50	Glucose	1.12
8	AZ50	Glucose	1.14
9	AZ50	Glucose	1.18
10	AZ50	Fructose	1.14
11	AZ50	Fructose	1.16
12	AZ50	Fructose	1.13
13	AZ50	Mannose	1.12
14	AZ50	Mannose	1.17
15	AZ50	Mannose	1.07
16	AZ50	Cellbiose	1.09
17	AZ50	Cellbiose	1.12
18	AZ50	Cellbiose	1.09
19	AZ52_ns	No-C	0.191
20	AZ52_ns	No-C	0.174
21	AZ52_ns	No-C	0.173
22	AZ52_ns	No-N	0.36
23	AZ52_ns	No-N	0.34
24	AZ52_ns	No-N	0.37
25	AZ52	Glucose	0.84
26	AZ52	Glucose	1.04
27	AZ52	Glucose	1.07
28	AZ52	Fructose	1.17
29	AZ52	Fructose	1.21
30	AZ52	Fructose	1.03
31	AZ52	Mannose	1.22
32	AZ52	Mannose	1.32
33	AZ52	Mannose	1.38
34	AZ52	Cellbiose	1.16
35	AZ52	Cellbiose	1.05
36	AZ52	Cellbiose	1.13
37	AZ103_ns	No-C	0.118
38	AZ103_ns	No-C	0.118
39	AZ103_ns	No-C	0.122
40	AZ103_ns	No-N	0.373
41	AZ103_ns	No-N	0.32
42	AZ103_ns	No-N	0.307
43	AZ103	Glucose	1.02
44	AZ103	Glucose	1.05
45	AZ103	Glucose	1.05
46	AZ103	Fructose	1.08
47	AZ103	Fructose	1.13
48	AZ103	Fructose	1.14
49	AZ103	Mannose	1.13
50	AZ103	Mannose	1.21
51	AZ103	Mannose	1.21
52	AZ103	Cellbiose	1.15
53	AZ103	Cellbiose	1.13
54	AZ103	Cellbiose	1.07
55	AZ290_ns	No-C	0.069
56	AZ290_ns	No-C	0.08
57	AZ290_ns	No-C	0.125
58	AZ290_ns	No-N	0.28
59	AZ290_ns	No-N	0.227
60	AZ290_ns	No-N	0.3
61	AZ290	Glucose	0.92
62	AZ290	Glucose	1.04
63	AZ290	Glucose	1.01
64	AZ290	Fructose	0.95
65	AZ290	Fructose	0.83
66	AZ290	Fructose	0.91
67	AZ290	Mannose	0.95
68	AZ290	Mannose	0.98
69	AZ290	Mannose	1.06
70	AZ290	Cellbiose	0.96
71	AZ290	Cellbiose	0.9
72	AZ290	Cellbiose	0.92
73	AZ288_ns	No-C	0.105
74	AZ288_ns	No-C	0.106
75	AZ288_ns	No-C	0.128
76	AZ288_ns	No-N	0.313
77	AZ288_ns	No-N	0.287
78	AZ288_ns	No-N	0.313
79	AZ288	Glucose	2.02
80	AZ288	Glucose	2.09
81	AZ288	Glucose	2.1
82	AZ288	Fructose	2.09
83	AZ288	Fructose	1.89
84	AZ288	Fructose	1.73
85	AZ288	Mannose	2.02
86	AZ288	Mannose	2.18
87	AZ288	Mannose	2.08
88	AZ288	Cellbiose	2.15
89	AZ288	Cellbiose	2.24
90	AZ288	Cellbiose	2.08
