Bin_name	Kingdoms	Phylum	Class	Order	Family	Genus	Species 	Completeness	Contamination	New 
wheatSN2D142.bin3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_D casseliflavus 	93.84	0.39	No 
wheatSN2D71.bin10	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_D gallinarum 	88.69	0.42	No 
wheatSN2D73.bin10	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis 	98.13	0.37	No 
wheatSN2D72.bin6	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Desemzia	Desemzia incerta 	93.76	3.01	No 
wheatSN2D71.bin12	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus Bin12	Staphylococcus xylosus_B 	97.78	1.94	No 
wheatSN2D73.bin2	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus Bin2	Staphylococcus_A sciuri 	99.45	2.39	No 
wheatSN2D71.bin14	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus Bin 14	Staphylococcus_A lentus 	93.63	3.04	No 
wheatSN2D72.bin5	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus	Solibacillus silvestris 	97.85	1.61	No 
wheatSN2D71.bin16	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus Bin16	Bacillus subtilis 	98.15	0.66	No 
wheatSN2D142.bin9	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus Bin9	Bacillus altitudinis 	91.02	0.57	No 
wheatSN2D71.bin1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_D	Bacillus Bin1	Bacillus_H clausii 	93.61	1.02	No 
wheatSN2D73.bin7	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium stationis 	99.34	0.26	No 
wheatSN2D142.bin5	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Leucobacter	Leucobacter chromiiresistens_A 	96.64	0	No 
wheatSN2D141.bin6	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Dermabacteraceae	Brachybacterium	Brachybacterium paraconglomeratum 	97.08	0	No 
wheatSN0D73.bin6	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii 	100	0.04	No 
wheatSN2D71.bin5	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter radioresistens 	99.13	0	No 
wheatSN2D142.bin12	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter ludwigii 	99.6	0.93	No 
wheatSN0D142.bin12	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter himalayensis 	81.59	6.86	No 
wheatSN0D02.bin1	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea agglomerans 	82.68	1.49	No 
wheatSN2D142.bin7	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea brenneri 	98.78	0.77	No 
wheatSN0D71.bin3	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Erwinia	Erwinia_B gerundensis 	82.64	2.22	No 
wheatSN2D143.bin1	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas geniculata 	95.72	0.18	No 
wheatSN0D143.bin6	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia_P 	91.59	2.63	No 
wheatSN2D73.bin1	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia pickettii 	83.18	4.41	No 
