Level2,GH48,GH9,GH51,GH16_21,GH3,GH1,GH10,GH11,GH30_8,GH5_8,GH5_7,GH125,GH120,GH43_11,GH43_12,GH38,GH2,CE12,CE14,CE4,CE7,GH127,GH31,GH35,GH4,GH42,GH43_26,GH43_4,GH43_5
bin1,0,0,2,0,2,7,0,0,0,1,0,1,0,1,1,2,0,1,0,5,1,1,1,0,1,0,0,1,0
bin9,1,0,0,1,1,4,1,1,1,0,1,0,0,1,0,1,0,1,1,8,1,0,0,0,3,0,0,0,0
bin16,0,1,2,1,1,4,0,1,1,0,0,0,0,0,0,0,0,3,2,6,1,0,0,0,6,2,0,1,1
bin14,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,6,0,1,0,0
bin2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0
bin12,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
